event, shooter, shooter_name, shooter_offensive_rating, dist, x, y, shot_angle, shooter_velocity, fg_percentage_zone, closest_defender, closest_defender_name, closest_defender_defensive_rating, closest_defender_dist, closest_defender_angle, closest_defender_velocity, num_close_defenders, shot_clock, score_margin, quarter, make
496, 203115, Will Barton, 105.0, 49.38807985659798, 1.93556, -24.26991, 1.639986419613887, 0.00871523505133397,58.35866261398176, 203546, Ian Clark, 106.0, 8.713697940438378, 2.4497235334257725, 0.00909118441816028,1, 20, -2, 4, 1
499, 2738, Andre Iguodala, 115.0, 39.942513649384914, 68.60867, -9.55068, 1.0451706141396184, 0.004690337920928484,33.33333333333333, 201568, Danilo Gallinari, 111.0, 15.167103834249303, 1.8855006484518104, 0.003878946836771479,0, 24, -2, 4, 0
501, 203115, Will Barton, 105.0, 45.928587638537294, 7.20232, -20.89122, 1.5304549488020474, 0.0074111790970231035,38.46153846153847, 2738, Andre Iguodala, 105.0, 3.439378500746904, 0.12183084886454654, 0.0017255352579312795,2, 24, 0, 4, 1
508, 201568, Danilo Gallinari, 120.0, 27.300827976634704, 3.31757, -2.2250700000000023, 1.6453109914594393, 0.010348880183986052,25.0, 203546, Ian Clark, 106.0, 9.347149169067535, 2.8910561599719484, 0.0051162480454431105,1, 4, 0, 5, 0
511, 202691, Klay Thompson, 104.37388483373884, 73.00643884674078, 81.77173, -47.6817, 1.4764418196397968, 0.004192714907864676,36.36363636363637, 2749, Jameer Nelson, 112.0, 8.896876559360583, 1.7879908044395096, 0.0006100534884534789,1, 23, 0, 5, 0
513, 203110, Draymond Green, 115.0, 46.21988945166897, 88.86701, -21.21938, 1.5754915088885337, 0.002712270762483162,59.85915492957746, 2034, Mike Miller, 109.0, 2.2494583151727863, 3.1071036698613086, 0.002793267853097037,2, 23, 0, 4, 0
514, 203115, Will Barton, 105.0, 56.808489565079974, 25.14487, -28.24817, 1.2148802753143007, 0.006758478562415723,34.48275862068966, 203110, Draymond Green, 100.0, 7.015049365756453, 2.1446048329147764, 0.0015778900516581163,2, 23, 0, 5, 0
518, 203110, Draymond Green, 115.0, 46.99963464105865, 88.14393, -21.99691, 1.560028588209047, 0.0013835536897783992,59.85915492957746, 2034, Mike Miller, 109.0, 1.1404761125074034, 3.0349637537370904, 0.0033443361075107423,3, 23, 0, 4, 0
527, 202691, Klay Thompson, 104.37388483373884, 40.54263912731509, 74.26754, -12.905810000000002, 1.2081507515762921, 0.0018187752919202559,44.44444444444444, 203914, Gary Harris, 111.0, 2.5520911040556533, 1.4353067305146276, 0.004524173750531674,2, 12, 0, 5, 0
529, 201568, Danilo Gallinari, 120.0, 52.91530474029985, 53.55638, -14.603879999999997, 0.8457052796064816, 0.011024402327555718,37.25490196078432, 203110, Draymond Green, 100.0, 12.046495878038556, 2.786542975110882, 0.00562043744685557,0, 23, 0, 5, 0
531, 203110, Draymond Green, 115.0, 56.183477060281696, 80.15894, -30.53814, 1.419084103230244, 0.012206914342422433,59.85915492957746, 201568, Danilo Gallinari, 111.0, 2.516045138704787, 0.7288657278184321, 0.005311883958052696,2, 23, 0, 5, 1
532, 2749, Jameer Nelson, 99.0, 38.337798245372674, 24.75345, -8.064979999999998, 1.0401185612661812, 0.010066285315969356,35.714285714285715, 203546, Ian Clark, 106.0, 8.669632805055814, 2.1055723165801785, 0.007445066844058569,1, 23, 0, 5, 0
534, 203546, Ian Clark, 102.0, 61.81876990581825, 86.16218, -36.76869, 1.5305416917889463, 0.005161354503664432,46.15384615384615, 203115, Will Barton, 108.0, 8.020729202965276, 0.04043904628129712, 0.003497255566869492,1, 24, 2, 5, 1
535, 203115, Will Barton, 105.0, 48.004717564915424, 7.39428, -22.96117, 1.5281984638027937, 0.0026327845525222888,41.935483870967744, 2738, Andre Iguodala, 105.0, 0.7391522901946533, 2.244553820795192, 0.005362929895355755,4, 24, -2, 5, 0
537, 202702, Kenneth Faried, 116.0, 62.49163682092029, 53.18553, -26.45363, 0.967320890803622, 0.012695223021377055,61.53846153846154, 202691, Klay Thompson, 106.69356796116504, 24.69428180053431, 1.9678013433950183, 0.008763054982424854,0, 21, 0, 5, 1
