,shot_clock,pass_successful,backcourt,dist,passer_basket_dist,ball_end_basket_dist,basket_angle,closest_def_dist_passer,closest_def_dist_ball_end,closest_def_trajectory,closest_def_angle_passer,closest_def_angle_ball_end,closest_def_trajectory_angle
150,12.38,1,1,17.039215680599852,10.352737861672148,6.692164670605465,0.05289951655508511,1.9495161871602857,4.552611119753144,0.09427250033748366,3.09321691780301,1.8109071012793552,3.1353462052747427
151,22.69,1,0,14.248995210094643,6.425141848332999,12.172953529185103,1.483932839061926,14.50579780773536,0.8534497263459596,0.8208697646142523,3.084973326392649,1.2935966866671933,1.2935966866671933
152,17.91,1,1,16.029298980257995,31.7976271025638,25.878367010744707,2.6162789539443745,4.550811920448923,12.98268188288537,1.2450072390738318,2.415536109690619,2.906713398843553,2.9295152252812366
153,13.83,1,1,18.829695571105237,8.886627389538733,27.549525110625776,2.9815979019617105,6.553420609620595,22.02991440848103,0.5709879700125727,0.6563248076029157,2.7925636497732254,3.078651747123844
154,12.64,1,1,13.627572414836036,25.353648804763782,22.540184162390958,2.576319156906293,8.56179420785153,5.071687977310909,0.19399711769073225,3.1189322489246654,3.1033323234625025,3.1033323234625025
155,22.94,1,0,4.308955769104623,6.3234738822027206,2.450453826457456,2.6570909240821967,2.7290987817226413,2.574827759307408,1.5453379068645272,2.539649975732124,2.4978773136050285,2.4978773136050285
156,21.89,1,0,12.148248669009865,7.178364980913136,5.308948032341245,0.4725565202583975,6.578175319600415,6.154606693599516,1.905656805129136,2.84768571790997,2.8267877543334676,2.8267877543334676
157,14.7,1,1,20.109009618290507,28.113091287885787,20.493658305439272,2.3454255350832236,7.115733826928884,16.786391112118174,1.5038166791165275,2.220929453350176,2.797412587833394,2.953516750083967
158,14.0,1,1,10.930815540114104,28.776984543959777,22.765040401082093,2.7830033757271937,2.53973682488954,10.487621077370216,1.8671346623590461,1.862035748550657,2.9074929792411166,2.739460761893085
159,5.32,1,1,18.002282528224022,26.630199359022832,21.494328688119108,2.4037914744292013,7.542714957162308,6.394433188782255,0.48453670497196033,2.2474712541471926,3.0657451813281775,3.0657451813281775
160,3.32,1,1,9.824333338364491,10.612633602348666,12.814739291963765,2.2955883069896763,3.646031149578949,3.165919812582119,0.5883941892857578,0.22739230791388332,2.9546532215711268,2.9546532215711268
161,2.12,1,1,3.777906102446171,1.6225627596182544,2.3536488790386736,0.6457033889461009,2.6849816396020296,1.5881986629512075,0.011379773116165722,2.916959235133723,2.4536333656428346,3.140682093024598
162,1.88,1,1,2.705808330277664,3.0226383764023104,0.3195791459091151,3.0174431294989414,1.430668527682075,1.1717810516047802,0.47401509506342826,2.803885958936411,2.322228289611859,2.805290279197293
163,16.73,1,1,22.095072729097325,29.77566837581485,16.27763706813738,2.3244820776455697,7.723576314279542,7.133875836885584,0.5784307018220086,2.6592486307811702,3.0604212964390527,3.0604212964390527
164,15.36,1,1,18.06509143316192,17.019522115597137,27.01894082707537,2.4247393628033933,2.7350099016456917,26.046438081292415,0.3529638376861497,1.1958988764036205,2.81434982925425,3.0748259516613135
165,12.33,1,1,16.096766120187002,20.148367389468564,24.1878401339392,2.4202309783650424,7.016469348618293,4.1352235360739575,0.9137978318485573,1.2063133709963354,2.9187744143246817,2.9187744143246817
166,11.13,1,1,10.488836891905603,22.8058581472612,13.95702243354219,2.8246182273459066,3.1356375434191994,2.861202282066055,0.1091941592669756,3.106762020441758,2.8303829777177465,3.1267476997041843
167,8.89,1,1,6.954347167959045,16.49574564869985,22.769616346677868,2.9866296520643436,1.5681140398580797,7.611478092755706,0.26051778240915624,1.2386069162139317,2.945583279154858,3.120917061712425
168,8.33,1,1,6.289979501206663,22.588950627829085,17.091419383740487,2.98588921451017,4.599727620544503,2.7532578360916427,1.0655129771908292,2.7347375474678355,2.419289495646231,0.06123457787602845
169,19.15,1,1,16.083452323133244,38.044141407340234,36.72966387309854,2.709420648102705,9.461106820198156,6.636441024984701,0.3315180065495549,3.1065453921624275,3.091617668527488,3.091617668527488
170,15.07,1,1,0.3385020191963427,28.089582609303754,27.753531009543625,3.1401365350704897,1.9051434980336783,2.067215208656324,1.185481838048659,1.147994125238735,2.1434878030283233,0.16654363564203842
171,18.82,1,1,6.583942294795724,3.698560301482185,3.604718684238758,0.8952028171690554,4.281598747255514,3.0645847461768785,1.2931055618044658,1.5284283372042757,2.478067393611731,1.5376678407520377
172,18.32,0,0,0.0,25.566041930654812,25.566041930654812,3.141592653589793,7.9947724191811735,7.9947724191811735,100000.0,,,
173,22.52,1,1,15.585107698466505,30.82333311036949,46.09719045770143,3.059351162737335,9.127827433869465,6.561711803127289,0.8912794102389593,3.0437926207872197,3.005341152445727,3.005341152445727
174,18.0,1,0,4.702633558050219,9.168021490430748,13.755750070675907,3.0495563672803456,3.383396149388958,1.504662640527772,0.38692887135231435,2.959932612912142,2.7232580740441965,3.095996722981173
175,14.36,1,0,4.861914485683596,18.022296030245425,22.768568015105824,3.0895504662387836,4.097837442176052,1.2683091806811164,0.9233824871909794,2.9143067178574866,2.3261310706984113,2.3261310706984113
176,7.34,1,1,36.16176075244263,15.45428879596211,20.72145712529165,0.05621317929940407,7.504655485583598,2.5239297156022427,0.6417475009657132,0.6436196808023998,2.8845047936685324,2.8845047936685324
177,17.46,1,0,10.898922678439368,24.94699807873685,16.471230650346076,2.801947573200477,5.954321940347196,3.3354282668496977,1.3004348979682456,2.921416174598227,2.520637480376047,2.8913773116990797
